,LocationID,Activity1,Activity2,Activity3,Activity4,Activity5
0,0,Tours,Paddleboarding,Massage,Ziplining,Horseback Riding
1,1,Beaches,Hiking,Snorkeling,Parasailing,Hot Air Balloons
2,2,Tours,Massage,Hiking,Horseback Riding,Ziplining
3,3,Ziplining,Beaches,Massage,Tours,Horseback Riding
4,4,Ziplining,Massage,Tours,Beaches,Hiking
5,5,Ziplining,Sailing,Beaches,Tours,Massage
6,6,Ziplining,Massage,Tours,Beaches,Hiking
7,7,Ziplining,Sailing,Beaches,Tours,Massage
8,8,Ziplining,Beaches,Hiking,Tours,Massage
9,9,Ziplining,Beaches,Massage,Hiking,Tours
10,10,Ziplining,Beaches,Hiking,Tours,Massage
11,11,Ziplining,Beaches,Massage,Hiking,Tours
12,12,Hot Air Balloons,Hiking,Tours,Paddleboarding,Massage
13,13,Ziplining,Tours,Horseback Riding,nan,nan
14,14,Ziplining,Massage,Tours,nan,nan
15,15,Ziplining,Tours,Paddleboarding,Massage,Horseback Riding
16,16,Ziplining,Beaches,Tours,Massage,Horseback Riding
17,17,Beaches,Ziplining,nan,nan,nan
18,18,Ziplining,Beaches,Tours,Massage,Horseback Riding
19,19,Ziplining,Beaches,Tours,Hiking,Massage
20,20,Parasailing,Massage,Hiking,Beaches,Paddleboarding
21,21,Ziplining,Snorkeling,Hiking,Tours,Beaches
22,22,Ziplining,Snorkeling,Tours,Massage,Beaches
23,23,Hiking,Horseback Riding,Tours,Spas,Hot Springs
24,24,Tours,Beaches,Hiking,Horseback Riding,Spas
25,25,Ziplining,Hiking,Beaches,Massage,Tours
26,26,Hot Springs,Ziplining,Tours,Hang Gliding,Hiking
27,27,Paddleboarding,Hot Air Balloons,Hiking,Horseback Riding,Tours
28,28,Ziplining,Tours,Beaches,Massage,Horseback Riding
29,29,Tours,Ziplining,Massage,Hiking,Paddleboarding
30,30,Hot Springs,Tours,Ziplining,Massage,Paddleboarding
31,31,Ziplining,Tours,Massage,Beaches,Paddleboarding
32,32,Hiking,Massage,Tours,Ziplining,Beaches
33,33,Snorkeling,Ziplining,Tours,Massage,Beaches
34,34,Ziplining,Massage,Tours,Beaches,Paddleboarding
35,35,Ziplining,Tours,Beaches,Hiking,Massage
36,36,Ziplining,Beaches,Tours,Massage,Horseback Riding
37,37,Ziplining,nan,nan,nan,nan
38,38,Tours,Snorkeling,Beaches,Sailing,Ziplining
39,39,Beaches,Ziplining,Tours,Massage,Horseback Riding
40,40,Ziplining,Hiking,Tours,Massage,Horseback Riding
41,41,Ziplining,Tours,Beaches,Massage,Hiking
42,42,Ziplining,Tours,Massage,Hiking,Hot Air Balloons
43,43,Ziplining,Tours,Beaches,Massage,Hiking
44,44,Ziplining,Tours,Massage,Hiking,Hot Air Balloons
45,45,Hot Air Balloons,Massage,Hiking,Ziplining,Horseback Riding
46,46,Ziplining,Tours,Beaches,Snorkeling,nan
47,47,Ziplining,Tours,Beaches,Horseback Riding,Hot Air Balloons
48,48,Ziplining,Beaches,Hot Air Balloons,Massage,Tours
49,49,Ziplining,Snorkeling,Tours,Sailing,Massage
50,50,Ziplining,Beaches,Tours,Hiking,Massage
51,51,Ziplining,Hang Gliding,Tours,Beaches,Massage
52,52,Beaches,Tours,Ziplining,Hiking,Massage
53,53,Ziplining,Hang Gliding,Tours,Beaches,Massage
54,54,Beaches,Tours,Ziplining,Hiking,Massage
55,55,Ziplining,Hiking,Tours,Horseback Riding,Massage
56,56,Ziplining,Paddleboarding,Tours,Hiking,Beaches
57,57,Ziplining,Tours,Beaches,Massage,Snorkeling
58,58,Ziplining,Beaches,Tours,Massage,Hiking
59,59,Ziplining,Tours,Massage,Hiking,Beaches
60,60,Ziplining,Massage,Tours,Beaches,Paddleboarding
61,61,Hot Springs,Ziplining,Tours,Horseback Riding,Massage
