LocationID,April,May,June,July,August,September,October,November,December,January,February,March
0,9,10,13,13,9,10,10,7,8,8,10,9
1,11,14,14,14,12,11,11,8,7,8,9,9
2,9,11,14,11,10,9,11,9,6,6,9,8
3,10,14,15,16,12,9,9,6,4,3,8,7
4,7,5,7,8,8,10,8,14,12,13,12,11
5,7,5,7,8,8,10,8,14,12,13,12,11
6,7,5,7,8,8,10,8,14,12,13,12,11
7,7,5,7,8,8,10,8,14,12,13,12,11
8,7,5,7,8,7,10,8,14,12,13,12,12
9,7,5,7,8,7,10,8,14,12,13,12,12
10,7,5,7,8,7,10,8,14,12,13,12,12
11,7,5,7,8,7,10,8,14,12,13,12,12
12,12,14,14,13,9,10,10,8,7,8,10,11
13,10,6,5,6,5,8,11,11,13,14,12,11
14,8,14,14,16,13,10,10,7,3,3,6,9
15,11,12,13,11,10,10,10,10,7,7,8,8
16,6,6,8,7,7,10,11,13,12,13,12,12
17,12,11,12,11,11,10,7,6,7,6,9,11
18,9,13,16,16,14,10,8,7,5,4,8,7
19,10,14,14,14,14,11,10,9,6,8,7,11
20,10,10,10,8,9,10,10,9,8,10,9,10
21,7,7,7,11,11,11,11,13,12,10,7,11
22,7,6,7,8,11,10,11,12,12,10,8,9
23,11,7,6,7,8,10,10,13,12,14,11,11
24,11,7,6,7,8,10,10,13,12,14,11,11
25,6,5,8,7,8,9,8,14,11,12,12,11
26,10,7,5,5,7,10,11,12,12,13,12,10
27,11,14,14,14,10,10,10,8,7,8,10,11
28,11,14,15,15,11,10,11,6,5,7,10,10
29,8,13,12,13,12,9,9,6,6,5,7,6
30,9,12,13,11,9,9,10,9,6,7,8,8
31,8,12,14,15,14,9,11,8,6,4,9,9
32,9,13,13,13,10,10,8,5,6,6,8,7
33,9,13,11,10,8,10,10,8,7,8,9,10
34,8,11,10,9,7,8,5,5,6,7,8,9
35,10,13,14,14,11,10,9,8,6,5,9,9
36,9,5,4,7,6,7,12,12,14,14,13,11
37,11,11,11,10,11,10,9,7,7,7,8,11
38,11,11,8,10,9,8,7,10,8,9,10,10
39,9,13,16,16,13,8,8,6,6,5,8,7
40,11,14,15,15,14,8,7,5,3,3,5,8
41,8,6,6,6,5,8,11,11,13,14,13,11
42,8,6,6,6,5,8,11,11,13,14,13,11
43,8,6,6,6,5,8,11,11,13,14,13,11
44,8,6,6,6,5,8,11,11,13,14,13,11
45,12,14,14,13,11,10,8,8,7,5,9,9
46,10,10,10,9,10,10,7,7,9,9,9,11
