,LocationID,April,May,June,July,August,September,October,November,December,January,February,March
0,0,51.8,68.0,75.2,75.2,71.6,69.8,55.4,39.2,39.2,41.0,44.6,37.4
1,1,60.8,64.4,68.0,69.8,75.2,71.6,68.0,59.0,55.4,57.2,55.4,57.2
2,2,26.6,42.8,57.2,69.8,64.4,53.6,46.4,14.0,12.2,21.2,15.8,26.6
3,3,50.0,55.4,59.0,64.4,66.2,57.2,51.8,51.8,32.0,41.0,46.4,41.0
4,4,69.8,69.8,59.0,57.2,59.0,64.4,66.2,69.8,69.8,73.4,73.4,75.2
5,5,69.8,69.8,59.0,57.2,59.0,64.4,66.2,69.8,69.8,73.4,73.4,75.2
6,6,69.8,69.8,59.0,57.2,59.0,64.4,66.2,69.8,69.8,73.4,73.4,75.2
7,7,69.8,69.8,59.0,57.2,59.0,64.4,66.2,69.8,69.8,73.4,73.4,75.2
8,8,68.0,68.0,55.4,53.6,55.4,62.6,64.4,69.8,71.6,75.2,75.2,77.0
9,9,68.0,68.0,55.4,53.6,55.4,62.6,64.4,69.8,71.6,75.2,75.2,77.0
10,10,68.0,68.0,55.4,53.6,55.4,62.6,64.4,69.8,71.6,75.2,75.2,77.0
11,11,68.0,68.0,55.4,53.6,55.4,62.6,64.4,69.8,71.6,75.2,75.2,77.0
12,12,51.8,59.0,71.6,78.8,75.2,64.4,60.8,41.0,35.6,37.4,37.4,46.4
13,13,64.4,57.2,50.0,48.2,50.0,50.0,53.6,57.2,60.8,75.2,73.4,69.8
14,14,24.8,39.2,48.2,64.4,69.8,57.2,50.0,14.0,12.2,26.6,23.0,21.2
15,15,44.6,60.8,71.6,73.4,69.8,62.6,51.8,28.4,17.6,26.6,23.0,35.6
16,16,64.4,62.6,53.6,51.8,55.4,59.0,60.8,64.4,66.2,73.4,73.4,73.4
17,17,78.8,80.6,80.6,80.6,82.4,82.4,82.4,80.6,78.8,78.8,77.0,77.0
18,18,51.8,55.4,62.6,68.0,69.8,62.6,59.0,55.4,39.2,44.6,48.2,46.4
19,19,62.6,69.8,78.8,80.6,80.6,75.2,69.8,64.4,59.0,57.2,55.4,62.6
