,act1,act2,act3,act4,act5,city,country
0,beaches, snorkeling, paddleboarding, sailing, spas,Cook Islands, Cook Islands
1,hiking, sailing, tours, beaches, spas,Dubrovnik, Croatia
2,beaches, sailing, snorkeling, paddleboarding, horsebackriding,Antigua and Barbuda, Antigua and Barbuda
3,hot_air_balloons, tours, spas, horsebackriding, sailing,Dubai, UAE
4,beaches, snorkeling, parasailing, paddleboarding, horsebackriding,Turks and Caicos Islands, Turks and Caicos Islands
5,hiking, horsebackriding, wine tours, spas, hot springs,Stellenbosch, South Africa
6,snorkeling, beaches, tours, sailing, spice tours,Zanzibar, Tanzania
7,beaches, snorkeling, spas, hiking, sailing,Mauritius, Mauritius
8,beaches, snorkeling, sailing, paddleboarding, spas,Cayman Islands, Cayman Islands
9,beaches, snorkeling, sailing, hiking, spas,Seychelles, Seychelles
10,hiking, hot_air_balloons, tours, spas, ziplining,Marrakesh, Morocco
11,tours, hot_air_balloons, horsebackriding, spas, hiking,Jaipur, India
12,beaches, snorkeling, sailing, horsebackriding, spas,Barbados, Barbados
13,tours, hot_air_balloons, hiking, horsebackriding, spas,Udaipur, India
14,beaches, snorkeling, horsebackriding, hiking, spas,Jamaica, Jamaica
15,whale watching, beaches, hiking, horsebackriding, spas,Hermanus, South Africa
16,tours, hot_air_balloons, spas, hiking, horsebackriding,Agra, India
17,beaches, snorkeling, sailing, paddleboarding, spas,Fiji, Fiji
18,tours, museums, hiking, boat tours, spas,St. Petersburg, Russia
19,beaches, snorkeling, sailing, spas, hiking,Saint Lucia, Saint Lucia
20,tours, hiking, horsebackriding, hot springs, spas,Medellin, Colombia
21,hiking, tours, hot air balloons, spas, massage,Kathmandu, Nepal
22,tours, hiking, safaris, horsebackriding, spas,Johannesburg, South Africa
23,tours, spas, massage, hot springs, hiking,Phnom Penh, Cambodia
24,tours, hiking, hot air balloons, spas, massage,Beijing, China
25,tours, hiking, spas, beaches, paddleboarding,Lima, Peru
26,tours, spas, massage, hot springs, hiking,Minsk, Belarus
27,beaches, snorkeling, sailing, tours, spas,Cartagena, Colombia
28,hiking, tours, hot air balloons, spas, paddleboarding,Ljubljana, Slovenia
29,hiking, tours, hot springs, spas, horsebackriding,Quito, Ecuador
30,tours, spas, massage, hiking, hot air balloons,Tallinn, Estonia
31,hiking, tours, spas, horsebackriding, ziplining,Zagreb, Croatia
32,tours, hiking, hot air balloons, spas, massage,Xi'an, China
33,hiking, tours, hot springs, horsebackriding, spas,Arequipa, Peru
34,beaches, tours, spas, hiking, horsebackriding,Montevideo, Uruguay
35,beaches, sailing, snorkeling, hiking, spas,Split, Croatia
36,hiking, tours, hot air balloons, spas, horsebackriding,Pokhara, Nepal
37,tours, hiking, hot air balloons, spas, massage,Shanghai, China
38,tours, spas, massage, hiking, hot springs,Riga, Latvia
39,tours, spas, massage, hiking, hot springs,Vilnius, Lithuania
40,beaches, sailing, snorkeling, paddleboarding, tours,Bahamas, Bahamas
41,beaches, hiking, tours, spas, hot springs,Bali, Indonesia
42,tours, spas, massage, hot springs, hiking,Bangkok, Thailand
43,tours, spas, massage, hot springs, hiking,New Delhi, India
44,tours, spas, massage, hot springs, hiking,Budapest, Hungary
45,tours, spas, massage, hot springs, hiking,Mumbai, India
46,tours, spas, massage, hot springs, hiking,Bucharest, Romania
47,beaches, snorkeling, sailing, tours, spas,Phuket, Thailand
48,tours, spas, massage, hot springs, hiking,Chiang Mai, Thailand
49,tours, spas, massage, hot springs, hiking,Jakarta, Indonesia
50,tours, spas, massage, hot springs, hiking,Sofia, Bulgaria
51,tours, spas, massage, hot springs, hiking,Hanoi, Vietnam
52,tours, spas, massage, hot springs, hiking,Ho Chi Minh City, Vietnam
53,tours, spas, massage, hot springs, hiking,Belgrade, Serbia
54,tours, spas, massage, hot springs, hiking,Siem Reap, Cambodia
55,tours, spas, massage, hot springs, hiking,Kyiv, Ukraine
56,tours, spas, massage, hot springs, hiking,Moscow, Russia
57,beaches, tours, spas, snorkeling, sailing,Hoi An, Vietnam
58,beaches, tours, spas, snorkeling, sailing,Colombo, Sri Lanka
59,tours, spas, massage, hot springs, hiking,Seoul, South Korea
60,Beaches, sailing, snorkeling, hiking, tours,Hvar, Croatia
61,Beaches, horsebackriding, hiking, ziplining, tours,San Jose, Costa Rica
62,Beaches, hot air balloons, spas, tours, sailing,Abu Dhabi, UAE
63,Hiking, temples, tours, spas, hot springs,Vientiane, Laos
64,Hiking, tours, hot springs, hang gliding, horsebackriding,La Paz, Bolivia
65,Beaches, tours, spas, hot springs, sailing,Doha, Qatar
66,Beaches, paddleboarding, tours, spas, sailing,Tel Aviv, Israel
67,Beaches, tours, horsebackriding, hiking, snorkeling,Dakar, Senegal
68,Beaches, hot air balloons, snorkeling, tours, sailing,Muscat, Oman
69,Beaches, tours, spas, hot springs, horsebackriding,Kuwait City, Kuwait
70,Beaches, tours, spas, hiking, hot springs,Beirut, Lebanon
71,Beaches, snorkeling, sailing, tours, spas,Valletta, Malta
72,Hiking, hot springs, tours, spas, horsebackriding,Reykjavik, Iceland
