,LocationID,total_rank
0,13,4.0
1,95,1.0
2,87,3.3
3,40,3.0
4,21,3.3
5,48,3.3
6,19,3.3
7,52,3.3
8,55,3.3
9,56,3.3
10,58,3.3
11,59,2.7
12,12,3.3
13,62,4.3
14,63,4.0
15,70,4.0
16,8,3.3
17,6,3.3
18,5,4.0
19,75,3.3
20,90,3.3
21,89,3.3
22,140,4.3
23,23,3.3
24,31,3.7
25,132,4.0
26,222,4.3
27,84,3.3
28,43,4.3
29,153,1.3
30,179,4.7
31,211,1.3
32,104,1.3
33,105,1.3
34,106,1.7
35,147,1.3
36,115,1.3
37,207,3.3
38,213,3.3
39,193,3.7
40,156,4.0
41,36,3.3
42,35,3.0
43,151,3.3
44,9,3.3
45,171,3.7
46,60,4.0
47,29,3.3
48,126,1.7
49,148,1.0
50,166,1.0
51,180,1.3
52,134,1.0
53,154,1.3
54,2,2.0
55,199,1.7
56,176,2.0
57,197,1.7
58,10,3.0
59,165,1.7
60,114,3.3
61,69,5.0
62,206,5.0
63,158,1.7
64,164,3.0
65,79,1.0
66,201,5.0
67,183,4.0
68,42,2.7
69,65,3.0
70,194,3.7
71,155,4.0
72,39,3.7
73,198,4.3
74,191,4.7
75,195,4.3
76,128,4.7
77,169,4.7
78,205,4.0
79,208,3.7
80,202,4.0
81,204,4.3
82,146,2.3
83,68,2.3
84,122,3.3
85,96,2.0
86,227,5.0
87,66,1.0
88,47,1.0
89,97,1.0
90,92,1.0
91,41,1.0
92,103,1.0
93,86,1.0
94,181,4.0
95,214,4.3
96,28,3.7
97,159,3.7
98,170,3.0
99,57,3.7
100,143,4.0
101,172,4.3
102,50,2.0
103,145,3.3
104,129,3.0
105,168,3.0
106,221,3.3
107,203,1.3
108,182,2.0
109,223,3.7
110,186,1.3
111,110,1.0
112,226,4.3
113,27,2.3
114,160,1.3
115,178,2.0
116,107,1.3
117,44,1.3
118,33,1.0
119,131,1.3
120,167,2.3
121,136,1.3
122,177,1.0
123,51,4.7
124,196,5.0
125,210,5.0
126,24,3.0
127,185,4.0
128,46,5.0
129,218,5.0
130,217,2.7
131,173,1.3
132,150,1.3
133,189,1.0
134,109,1.3
135,152,1.7
136,116,2.3
137,93,2.3
138,144,3.3
139,212,1.7
140,99,1.3
141,120,2.7
142,81,1.3
143,82,3.0
144,216,1.7
145,113,1.3
146,30,3.0
147,112,2.3
148,157,2.0
149,141,2.3
150,20,1.3
151,22,1.3
152,53,1.0
153,124,2.0
154,135,2.7
155,184,2.7
156,102,2.7
157,138,2.7
158,88,4.0
159,94,4.0
160,117,3.0
161,17,3.7
162,123,1.0
163,188,5.0
164,85,5.0
165,54,5.0
166,224,5.0
167,225,5.0
168,142,2.0
169,26,1.0
170,100,1.7
171,101,1.0
172,91,1.3
173,98,1.0
174,16,3.3
175,118,1.0
176,200,1.7
177,14,3.0
178,15,4.0
179,64,4.0
180,72,4.0
181,187,5.0
182,220,4.7
183,219,4.0
184,4,4.0
185,209,3.7
186,161,4.0
187,215,3.7
188,45,4.0
189,25,3.7
190,11,3.3
191,3,3.3
192,32,3.3
193,34,3.3
194,37,3.3
195,38,3.3
196,18,3.3
197,1,4.0
198,7,3.3
199,73,3.7
200,61,3.3
201,139,4.3
202,149,3.3
203,137,4.0
204,133,4.7
205,130,4.3
206,127,3.3
207,125,4.3
208,119,4.0
209,162,4.0
210,163,3.3
211,49,3.3
212,0,4.0
213,175,4.3
214,83,3.0
215,80,2.7
216,78,3.7
217,77,3.3
218,76,3.3
219,74,3.0
220,190,4.7
221,71,3.3
222,192,4.0
223,67,3.3
224,174,2.0
225,111,1.0
226,121,1.0
227,108,1.0
