latitude,longitude,act1,act2,act3,act4,act5
-45.0321923,168.66099999999997,hotsprings,ziplining,tours,massage,hanggliding
-37.8142454,144.96317319999997,ziplining,beaches,hiking,tours,hot_air_balloons
-37.7549851,145.522537,hiking,ziplining,snorkeling,beaches,massage
-36.852095,174.76318030000004,ziplining,beaches,tours,hiking,massage
-36.718805,142.22095086226386,ziplining,tours,,,
-35.14181285,150.39164649482632,ziplining,tours,beaches,,
-34.9281805,138.5999312,ziplining,tours,beaches,hiking,massage
-34.61341495,138.9385455169364,ziplining,tours,hiking,massage,hot_air_balloons
-34.6075682,-58.4370894,ziplining,tours,hiking,horsebackriding,massage
-34.427808299999995,150.893054,ziplining,tours,beaches,hanggliding,massage
-33.953177600000004,115.0769369,ziplining,tours,beaches,massage,
-33.934444,18.869167,ziplining,,,,
-33.8698439,151.20828480000003,beaches,tours,hiking,ziplining,massage
-33.861166499999996,121.88851585854931,ziplining,beaches,,,
-33.4377756,-70.6504502,ziplining,horsebackriding,tours,hiking,beaches
-32.728465,151.9380100885447,ziplining,tours,beaches,massage,
-31.955893300000003,115.8605855,ziplining,beaches,tours,massage,hiking
-28.6483333,153.61777780000003,hiking,ziplining,beaches,tours,massage
-28.0402165,152.81060540815727,beaches,ziplining,tours,massage,hiking
-28.002373100000003,153.4145987,ziplining,beaches,tours,hiking,massage
-27.4689682,153.02349909999995,ziplining,beaches,massage,hiking,tours
-26.6544338,153.0933668,ziplining,beaches,tours,sailing,massage
-26.3181415,152.93140931825062,ziplining,beaches,massage,tours,horsebackriding
-23.5506507,-46.6333824,ziplining,tours,hiking,massage,
-22.9110137,-43.2093727,beaches,ziplining,tours,hiking,sailing
-22.29247155,114.1469586328106,ziplining,massage,snorkeling,tours,beaches
-20.310115,149.00672307352474,ziplining,hiking,beaches,tours,snorkeling
-19.1421421,146.83354856403196,ziplining,snorkeling,tours,massage,
-16.9206657,145.7721854,ziplining,snorkeling,tours,beaches,horsebackriding
-16.4955455,-68.1336229,ziplining,,,,
-16.484598300000002,145.4636294,snorkeling,ziplining,beaches,horsebackriding,tours
-12.0621065,-77.03652559999998,ziplining,,,,
-8.456018100000001,115.27038551191185,ziplining,,,,
1.2899174999999998,103.8519072,ziplining,beaches,massage,hiking,tours
