WeatherID,LocationID,Year,MonthID,Sun,Temp
0,0,2022,0,5.75,28.28
1,26,2022,0,8.55,80.96
2,71,2022,0,8.01,35.48
3,227,2022,0,2.31,36.44
4,0,2022,1,8.61,39.32
5,26,2022,1,8.37,80.72
6,71,2022,1,9.81,36.2
7,227,2022,1,4.29,26.48
8,0,2022,2,8.89,46.52
9,26,2022,2,8.94,82.04
10,71,2022,2,9.36,41.6
11,227,2022,2,6.27,35.72
12,0,2022,3,9.51,52.88
13,26,2022,3,7.31,78.68
14,71,2022,3,11.42,54.32
15,227,2022,3,11.54,42.8
16,0,2022,4,10.19,67.52
17,26,2022,4,8.83,78.08
18,71,2022,4,10.77,67.04
19,227,2022,4,14.85,46.4
20,0,2022,5,13.25,73.64
21,26,2022,5,8.97,76.76
22,71,2022,5,13.99,81.68
23,227,2022,5,5.16,49.88
24,0,2022,6,11.63,76.76
25,26,2022,6,7.89,74.48
26,71,2022,6,14.01,87.8
27,227,2022,6,15.43,51.32
28,0,2022,7,9.43,71.96
29,26,2022,7,8.43,75.92
30,71,2022,7,11.37,80.6
31,227,2022,7,14.12,49.88
32,0,2022,8,10.81,70.04
33,26,2022,8,9.03,77.36
34,71,2022,8,10.61,72.2
35,227,2022,8,8.57,49.64
36,0,2022,9,10.39,53.6
37,26,2022,9,9.85,77.96
38,71,2022,9,11.24,60.68
39,227,2022,9,7.05,38.84
40,0,2022,10,7.09,38.12
41,26,2022,10,10.21,80.84
42,71,2022,10,8.23,36.08
43,227,2022,10,2.91,41.48
44,0,2022,11,6.11,36.8
45,26,2022,11,8.27,81.8
46,71,2022,11,7.05,25.52
47,227,2022,11,3.65,24.44
